party_raw,party_code,party_name
Kansallinen Kokoomus,KOK,Kansallinen Kokoomus
National Coalition Party,KOK,Kansallinen Kokoomus
Suomen Sosialidemokraattinen Puolue,SDP,Suomen Sosialidemokraattinen Puolue
Social Democratic Party of Finland,SDP,Suomen Sosialidemokraattinen Puolue
The Finnish Social Democratic Party,SDP,Suomen Sosialidemokraattinen Puolue
Suomen Keskusta,KESK,Suomen Keskusta
Center Party of Finland,KESK,Suomen Keskusta
Centre Party of Finland,KESK,Suomen Keskusta
Vihreä liitto,VIHR,Vihreä liitto
Green League,VIHR,Vihreä liitto
The Greens,VIHR,Vihreä liitto
Perussuomalaiset,PS,Perussuomalaiset
True Finns,PS,Perussuomalaiset
Finns Party,PS,Perussuomalaiset
The Finns Party,PS,Perussuomalaiset
Vasemmistoliitto,VAS,Vasemmistoliitto
Left Alliance,VAS,Vasemmistoliitto
The Left Alliance,VAS,Vasemmistoliitto
Ruotsalainen kansanpuolue,RKP,Ruotsalainen kansanpuolue
Swedish People's Party,RKP,Ruotsalainen kansanpuolue
Suomen Kristillisdemokraatit,KD,Suomen Kristillisdemokraatit
Christian Democrats in Finland,KD,Suomen Kristillisdemokraatit
Independence Party,IND,Independence Party
Pirate Party,PP,Pirate Party
Change 2011,OTHER,Change 2011
