year,value,region_code,region_name
2007,26.2,SSS,KOKO MAA
2007,20.8,KU020,Akaa
2007,17.3,KU005,Alajärvi
2007,13.3,KU009,Alavieska
2007,15.9,KU010,Alavus
2007,22.3,KU016,Asikkala
2007,18.6,KU018,Askola
2007,20.1,KU019,Aura
2007,20.6,KU035,Brändö
2007,14.7,KU043,Eckerö
2007,14.0,KU046,Enonkoski
2007,14.4,KU047,Enontekiö
2007,42.4,KU049,Espoo
2007,18.1,KU050,Eura
2007,20.8,KU051,Eurajoki
2007,13.5,KU052,Evijärvi
2007,17.0,KU060,Finström
2007,20.0,KU061,Forssa
2007,16.3,KU062,Föglö
2007,8.1,KU065,Geta
2007,16.6,KU069,Haapajärvi
2007,15.0,KU071,Haapavesi
2007,22.6,KU072,Hailuoto
2007,13.0,KU074,Halsua
2007,21.5,KU075,Hamina
2007,15.3,KU076,Hammarland
2007,14.9,KU077,Hankasalmi
2007,18.7,KU078,Hanko
2007,19.8,KU079,Harjavalta
2007,14.0,KU081,Hartola
2007,26.7,KU082,Hattula
2007,21.6,KU086,Hausjärvi
2007,21.3,KU111,Heinola
2007,15.4,KU090,Heinävesi
2007,35.2,KU091,Helsinki
2007,14.4,KU097,Hirvensalmi
2007,26.0,KU098,Hollola
2007,18.9,KU102,Huittinen
2007,14.9,KU103,Humppila
2007,11.9,KU105,Hyrynsalmi
2007,27.0,KU106,Hyvinkää
2007,19.9,KU108,Hämeenkyrö
2007,27.5,KU109,Hämeenlinna
2007,18.0,KU139,Ii
2007,21.2,KU140,Iisalmi
2007,18.9,KU142,Iitti
2007,20.2,KU143,Ikaalinen
2007,19.9,KU145,Ilmajoki
2007,12.5,KU146,Ilomantsi
2007,19.6,KU153,Imatra
2007,18.8,KU148,Inari
2007,29.0,KU149,Inkoo
2007,11.3,KU151,Isojoki
2007,18.9,KU152,Isokyrö
2007,21.9,KU165,Janakkala
2007,25.9,KU167,Joensuu
2007,22.3,KU169,Jokioinen
2007,21.8,KU170,Jomala
2007,19.2,KU171,Joroinen
2007,14.6,KU172,Joutsa
2007,13.1,KU176,Juuka
2007,15.5,KU177,Juupajoki
2007,15.5,KU178,Juva
2007,31.3,KU179,Jyväskylä
2007,15.0,KU181,Jämijärvi
2007,20.8,KU182,Jämsä
2007,30.9,KU186,Järvenpää
2007,32.2,KU202,Kaarina
2007,11.5,KU204,Kaavi
2007,25.8,KU205,Kajaani
2007,17.0,KU208,Kalajoki
2007,29.8,KU211,Kangasala
2007,15.5,KU213,Kangasniemi
2007,19.1,KU214,Kankaanpää
2007,13.3,KU216,Kannonkoski
2007,17.8,KU217,Kannus
2007,10.4,KU218,Karijoki
2007,17.7,KU224,Karkkila
2007,15.5,KU226,Karstula
2007,10.6,KU230,Karvia
2007,20.5,KU231,Kaskinen
2007,17.8,KU232,Kauhajoki
2007,19.3,KU233,Kauhava
2007,54.8,KU235,Kauniainen
2007,17.8,KU236,Kaustinen
2007,13.0,KU239,Keitele
2007,21.1,KU240,Kemi
2007,18.4,KU320,Kemijärvi
2007,25.4,KU241,Keminmaa
2007,19.5,KU322,Kemiönsaari
2007,32.3,KU244,Kempele
2007,29.7,KU245,Kerava
2007,19.8,KU249,Keuruu
2007,11.6,KU250,Kihniö
2007,11.4,KU256,Kinnula
2007,36.9,KU257,Kirkkonummi
2007,15.6,KU260,Kitee
2007,17.2,KU261,Kittilä
2007,13.9,KU263,Kiuruvesi
2007,9.1,KU265,Kivijärvi
2007,17.9,KU271,Kokemäki
2007,23.0,KU272,Kokkola
2007,15.4,KU273,Kolari
2007,14.9,KU275,Konnevesi
2007,27.2,KU276,Kontiolahti
2007,17.8,KU280,Korsnäs
2007,15.9,KU284,Koski Tl
2007,23.7,KU285,Kotka
2007,21.9,KU286,Kouvola
2007,18.4,KU287,Kristiinankaupunki
2007,18.8,KU288,Kruunupyy
2007,14.4,KU290,Kuhmo
2007,15.6,KU291,Kuhmoinen
2007,17.0,KU295,Kumlinge
2007,27.5,KU297,Kuopio
2007,17.3,KU300,Kuortane
2007,16.0,KU301,Kurikka
2007,17.1,KU304,Kustavi
2007,18.3,KU305,Kuusamo
2007,10.3,KU312,Kyyjärvi
2007,16.1,KU316,Kärkölä
2007,11.3,KU317,Kärsämäki
2007,18.2,KU318,Kökar
2007,24.0,KU398,Lahti
2007,22.8,KU399,Laihia
2007,17.3,KU400,Laitila
2007,15.2,KU407,Lapinjärvi
2007,16.0,KU402,Lapinlahti
2007,17.2,KU403,Lappajärvi
2007,24.8,KU405,Lappeenranta
2007,23.6,KU408,Lapua
2007,22.9,KU410,Laukaa
2007,19.9,KU416,Lemi
2007,23.8,KU417,Lemland
2007,30.8,KU418,Lempäälä
2007,19.7,KU420,Leppävirta
2007,14.3,KU421,Lestijärvi
2007,15.1,KU422,Lieksa
2007,28.5,KU423,Lieto
2007,30.1,KU425,Liminka
2007,21.2,KU426,Liperi
2007,24.1,KU444,Lohja
2007,20.0,KU430,Loimaa
2007,19.5,KU433,Loppi
2007,20.8,KU434,Loviisa
2007,12.9,KU435,Luhanka
2007,17.5,KU436,Lumijoki
2007,22.8,KU438,Lumparland
2007,18.5,KU440,Luoto
2007,17.3,KU441,Luumäki
2007,20.6,KU475,Maalahti
2007,27.6,KU478,Maarianhamina - Mariehamn
2007,16.9,KU480,Marttila
2007,27.6,KU481,Masku
2007,9.5,KU483,Merijärvi
2007,14.0,KU484,Merikarvia
2007,11.3,KU489,Miehikkälä
2007,25.4,KU491,Mikkeli
2007,21.4,KU494,Muhos
2007,14.2,KU495,Multia
2007,19.1,KU498,Muonio
2007,30.2,KU499,Mustasaari
2007,32.5,KU500,Muurame
2007,19.0,KU503,Mynämäki
2007,16.0,KU504,Myrskylä
2007,22.6,KU505,Mäntsälä
2007,17.8,KU508,Mänttä-Vilppula
2007,15.6,KU507,Mäntyharju
2007,29.9,KU529,Naantali
2007,20.4,KU531,Nakkila
2007,16.1,KU535,Nivala
2007,24.7,KU536,Nokia
2007,21.2,KU538,Nousiainen
2007,14.9,KU541,Nurmes
2007,30.1,KU543,Nurmijärvi
