region,year,party_raw,votes,vote_share_pct,seats,vote_delta,vote_share_delta_pct,seats_delta,total_votes_cast,total_valid_votes,total_seats,invalid_votes_total,source_url,region_name,party_code,party_name,election_type,source_type,value
KU005,2012,Independence Party,43,0.8,0,-104,-1.7,-1,5398,5384,35,14,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_005.html,Alajärvi,IND,Independence Party,municipal,official_html,43
KU005,2012,Christian Democrats in Finland,284,5.3,2,55,1.3,1,5398,5384,35,14,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_005.html,Alajärvi,KD,Suomen Kristillisdemokraatit,municipal,official_html,284
KU005,2012,Center Party of Finland,2615,48.6,19,-687,-8.1,-7,5398,5384,35,14,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_005.html,Alajärvi,KESK,Suomen Keskusta,municipal,official_html,2615
KU005,2012,National Coalition Party,769,14.3,5,-26,0.6,-1,5398,5384,35,14,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_005.html,Alajärvi,KOK,Kansallinen Kokoomus,municipal,official_html,769
KU005,2012,True Finns,1222,22.7,8,412,8.8,2,5398,5384,35,14,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_005.html,Alajärvi,PS,Perussuomalaiset,municipal,official_html,1222
KU005,2012,Social Democratic Party of Finland,240,4.5,1,-76,-1.0,-1,5398,5384,35,14,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_005.html,Alajärvi,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,240
KU005,2012,Left Alliance,133,2.5,0,-92,-1.4,-1,5398,5384,35,14,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_005.html,Alajärvi,VAS,Vasemmistoliitto,municipal,official_html,133
KU005,2012,Green League,78,1.4,0,78,1.4,0,5398,5384,35,14,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_005.html,Alajärvi,VIHR,Vihreä liitto,municipal,official_html,78
KU009,2012,Christian Democrats in Finland,53,4.3,1,35,2.9,1,1236,1230,21,6,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_009.html,Alavieska,KD,Suomen Kristillisdemokraatit,municipal,official_html,53
KU009,2012,Center Party of Finland,793,64.5,14,-156,-10.5,-3,1236,1230,21,6,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_009.html,Alavieska,KESK,Suomen Keskusta,municipal,official_html,793
KU009,2012,National Coalition Party,72,5.9,1,26,2.2,1,1236,1230,21,6,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_009.html,Alavieska,KOK,Kansallinen Kokoomus,municipal,official_html,72
KU009,2012,True Finns,259,21.1,4,68,6.0,1,1236,1230,21,6,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_009.html,Alavieska,PS,Perussuomalaiset,municipal,official_html,259
KU009,2012,Left Alliance,53,4.3,1,-9,-0.6,0,1236,1230,21,6,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_009.html,Alavieska,VAS,Vasemmistoliitto,municipal,official_html,53
KU010,2012,Christian Democrats in Finland,176,3.0,1,-7,-0.0,0,5952,5932,35,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_010.html,Alavus,KD,Suomen Kristillisdemokraatit,municipal,official_html,176
KU010,2012,Center Party of Finland,2715,45.8,17,-630,-9.1,-17,5952,5932,35,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_010.html,Alavus,KESK,Suomen Keskusta,municipal,official_html,2715
KU010,2012,National Coalition Party,1143,19.3,7,-111,-1.3,-4,5952,5932,35,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_010.html,Alavus,KOK,Kansallinen Kokoomus,municipal,official_html,1143
KU010,2012,True Finns,1023,17.2,6,884,15.0,5,5952,5932,35,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_010.html,Alavus,PS,Perussuomalaiset,municipal,official_html,1023
KU010,2012,Social Democratic Party of Finland,692,11.7,4,-214,-3.2,-4,5952,5932,35,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_010.html,Alavus,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,692
KU010,2012,Left Alliance,91,1.5,0,-95,-1.5,-1,5952,5932,35,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_010.html,Alavus,VAS,Vasemmistoliitto,municipal,official_html,91
KU010,2012,Green League,92,1.6,0,13,0.3,0,5952,5932,35,20,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_010.html,Alavus,VIHR,Vihreä liitto,municipal,official_html,92
KU016,2012,Christian Democrats in Finland,188,4.2,1,-92,-2.1,-1,4458,4426,35,32,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_016.html,Asikkala,KD,Suomen Kristillisdemokraatit,municipal,official_html,188
KU016,2012,Center Party of Finland,1507,34.0,13,-227,-5.0,-2,4458,4426,35,32,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_016.html,Asikkala,KESK,Suomen Keskusta,municipal,official_html,1507
KU016,2012,National Coalition Party,1092,24.7,9,-173,-3.8,-1,4458,4426,35,32,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_016.html,Asikkala,KOK,Kansallinen Kokoomus,municipal,official_html,1092
KU016,2012,True Finns,795,18.0,6,572,12.9,5,4458,4426,35,32,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_016.html,Asikkala,PS,Perussuomalaiset,municipal,official_html,795
KU016,2012,Social Democratic Party of Finland,511,11.5,4,-116,-2.6,-1,4458,4426,35,32,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_016.html,Asikkala,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,511
KU016,2012,Left Alliance,138,3.1,1,-4,-0.1,0,4458,4426,35,32,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_016.html,Asikkala,VAS,Vasemmistoliitto,municipal,official_html,138
KU016,2012,Green League,195,4.4,1,21,0.5,0,4458,4426,35,32,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_016.html,Asikkala,VIHR,Vihreä liitto,municipal,official_html,195
KU018,2012,Christian Democrats in Finland,65,2.9,0,-7,-0.4,0,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,KD,Suomen Kristillisdemokraatit,municipal,official_html,65
KU018,2012,Center Party of Finland,744,32.9,10,-68,-4.3,-1,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,KESK,Suomen Keskusta,municipal,official_html,744
KU018,2012,National Coalition Party,516,22.8,6,31,0.6,0,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,KOK,Kansallinen Kokoomus,municipal,official_html,516
KU018,2012,Pirate Party,7,0.3,0,7,0.3,0,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,PP,Pirate Party,municipal,official_html,7
KU018,2012,True Finns,263,11.6,3,174,7.6,2,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,PS,Perussuomalaiset,municipal,official_html,263
KU018,2012,Social Democratic Party of Finland,394,17.4,5,24,0.5,0,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,394
KU018,2012,Left Alliance,124,5.5,2,-39,-2.0,0,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,VAS,Vasemmistoliitto,municipal,official_html,124
KU018,2012,Green League,149,6.6,1,-44,-2.2,-1,2274,2262,27,12,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_018.html,Askola,VIHR,Vihreä liitto,municipal,official_html,149
KU019,2012,Center Party of Finland,469,25.4,5,-88,-5.2,-2,1855,1848,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_019.html,Aura,KESK,Suomen Keskusta,municipal,official_html,469
KU019,2012,National Coalition Party,483,26.1,6,19,0.7,1,1855,1848,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_019.html,Aura,KOK,Kansallinen Kokoomus,municipal,official_html,483
KU019,2012,True Finns,263,14.2,3,98,5.2,1,1855,1848,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_019.html,Aura,PS,Perussuomalaiset,municipal,official_html,263
KU019,2012,Social Democratic Party of Finland,491,26.6,6,38,1.7,1,1855,1848,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_019.html,Aura,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,491
KU019,2012,Left Alliance,142,7.7,1,-42,-2.4,-1,1855,1848,21,7,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_019.html,Aura,VAS,Vasemmistoliitto,municipal,official_html,142
KU020,2012,Christian Democrats in Finland,211,2.8,2,-120,-1.2,1,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,KD,Suomen Kristillisdemokraatit,municipal,official_html,211
KU020,2012,Center Party of Finland,915,12.1,6,-132,-0.4,-4,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,KESK,Suomen Keskusta,municipal,official_html,915
KU020,2012,National Coalition Party,2029,26.7,12,-387,-2.1,-5,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,KOK,Kansallinen Kokoomus,municipal,official_html,2029
KU020,2012,Change 2011,27,0.4,0,27,0.4,0,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,OTHER,Change 2011,municipal,official_html,27
KU020,2012,Pirate Party,13,0.2,0,13,0.2,0,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,PP,Pirate Party,municipal,official_html,13
KU020,2012,True Finns,809,10.7,3,581,7.9,2,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,PS,Perussuomalaiset,municipal,official_html,809
KU020,2012,Social Democratic Party of Finland,2482,32.7,15,-379,-1.4,-4,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,2482
KU020,2012,Left Alliance,816,10.8,4,-84,0.0,-1,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,VAS,Vasemmistoliitto,municipal,official_html,816
KU020,2012,Green League,288,3.8,1,-211,-2.2,-2,7646,7590,43,56,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_020.html,Akaa,VIHR,Vihreä liitto,municipal,official_html,288
KU046,2012,Christian Democrats in Finland,57,6.4,1,-25,-2.3,0,893,889,17,4,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_046.html,Enonkoski,KD,Suomen Kristillisdemokraatit,municipal,official_html,57
KU046,2012,Center Party of Finland,435,48.9,9,-57,-3.6,0,893,889,17,4,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_046.html,Enonkoski,KESK,Suomen Keskusta,municipal,official_html,435
KU046,2012,True Finns,95,10.7,1,95,10.7,1,893,889,17,4,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_046.html,Enonkoski,PS,Perussuomalaiset,municipal,official_html,95
KU046,2012,Social Democratic Party of Finland,296,33.3,6,-56,-4.3,-1,893,889,17,4,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_046.html,Enonkoski,SDP,Suomen Sosialidemokraattinen Puolue,municipal,official_html,296
KU046,2012,Green League,6,0.7,0,6,0.7,0,893,889,17,4,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_046.html,Enonkoski,VIHR,Vihreä liitto,municipal,official_html,6
KU047,2012,Johtti Sapmelaccat rs:n yhteislista,200,17.6,3,200,17.6,3,1145,1137,17,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_047.html,Enontekiö,Johtti Sapmelaccat rs:n yhteislista,Johtti Sapmelaccat rs:n yhteislista,municipal,official_html,200
KU047,2012,Christian Democrats in Finland,56,4.9,1,56,4.9,1,1145,1137,17,8,https://tulospalvelu.vaalit.fi/KV-2012/en/kutulos_047.html,Enontekiö,KD,Suomen Kristillisdemokraatit,municipal,official_html,56
