year,value,region_code,region_name
1990,4998478.0,SSS,KOKO MAA
1991,5029002.0,SSS,KOKO MAA
1992,5054982.0,SSS,KOKO MAA
1993,5077912.0,SSS,KOKO MAA
1994,5098754.0,SSS,KOKO MAA
1995,5116826.0,SSS,KOKO MAA
1996,5132320.0,SSS,KOKO MAA
1997,5147349.0,SSS,KOKO MAA
1998,5159646.0,SSS,KOKO MAA
1999,5171302.0,SSS,KOKO MAA
2000,5181115.0,SSS,KOKO MAA
2001,5194901.0,SSS,KOKO MAA
2002,5206295.0,SSS,KOKO MAA
2003,5219732.0,SSS,KOKO MAA
2004,5236611.0,SSS,KOKO MAA
2005,5255580.0,SSS,KOKO MAA
2006,5276955.0,SSS,KOKO MAA
2007,5300484.0,SSS,KOKO MAA
2008,5326314.0,SSS,KOKO MAA
2009,5351427.0,SSS,KOKO MAA
2010,5375276.0,SSS,KOKO MAA
2011,5401267.0,SSS,KOKO MAA
2012,5426674.0,SSS,KOKO MAA
2013,5451270.0,SSS,KOKO MAA
2014,5471753.0,SSS,KOKO MAA
2015,5487308.0,SSS,KOKO MAA
2016,5503297.0,SSS,KOKO MAA
2017,5513130.0,SSS,KOKO MAA
2018,5517919.0,SSS,KOKO MAA
2019,5525292.0,SSS,KOKO MAA
2020,5533793.0,SSS,KOKO MAA
2021,5548241.0,SSS,KOKO MAA
2022,5563970.0,SSS,KOKO MAA
2023,5603851.0,SSS,KOKO MAA
2024,5635971.0,SSS,KOKO MAA
2025,5652881.0,SSS,KOKO MAA
1990,16048.0,KU020,Akaa
1991,16096.0,KU020,Akaa
1992,16201.0,KU020,Akaa
1993,16142.0,KU020,Akaa
1994,16038.0,KU020,Akaa
1995,15986.0,KU020,Akaa
1996,15924.0,KU020,Akaa
1997,15840.0,KU020,Akaa
1998,15857.0,KU020,Akaa
1999,15954.0,KU020,Akaa
2000,15945.0,KU020,Akaa
2001,16022.0,KU020,Akaa
2002,16117.0,KU020,Akaa
2003,16269.0,KU020,Akaa
2004,16324.0,KU020,Akaa
2005,16422.0,KU020,Akaa
2006,16586.0,KU020,Akaa
2007,16738.0,KU020,Akaa
2008,16837.0,KU020,Akaa
2009,16858.0,KU020,Akaa
2010,17012.0,KU020,Akaa
2011,17091.0,KU020,Akaa
2012,17134.0,KU020,Akaa
2013,17108.0,KU020,Akaa
2014,17052.0,KU020,Akaa
2015,17043.0,KU020,Akaa
2016,16923.0,KU020,Akaa
2017,16769.0,KU020,Akaa
2018,16611.0,KU020,Akaa
2019,16475.0,KU020,Akaa
2020,16391.0,KU020,Akaa
2021,16467.0,KU020,Akaa
2022,16473.0,KU020,Akaa
2023,16405.0,KU020,Akaa
2024,16387.0,KU020,Akaa
2025,16429.0,KU020,Akaa
1990,11963.0,KU005,Alajärvi
1991,11982.0,KU005,Alajärvi
1992,12023.0,KU005,Alajärvi
1993,11992.0,KU005,Alajärvi
1994,11985.0,KU005,Alajärvi
1995,11890.0,KU005,Alajärvi
1996,11874.0,KU005,Alajärvi
1997,11803.0,KU005,Alajärvi
1998,11720.0,KU005,Alajärvi
1999,11624.0,KU005,Alajärvi
2000,11503.0,KU005,Alajärvi
2001,11341.0,KU005,Alajärvi
2002,11185.0,KU005,Alajärvi
2003,11075.0,KU005,Alajärvi
2004,11027.0,KU005,Alajärvi
2005,10910.0,KU005,Alajärvi
2006,10768.0,KU005,Alajärvi
2007,10698.0,KU005,Alajärvi
2008,10634.0,KU005,Alajärvi
2009,10573.0,KU005,Alajärvi
2010,10487.0,KU005,Alajärvi
2011,10327.0,KU005,Alajärvi
2012,10268.0,KU005,Alajärvi
2013,10227.0,KU005,Alajärvi
2014,10171.0,KU005,Alajärvi
2015,10006.0,KU005,Alajärvi
2016,9899.0,KU005,Alajärvi
2017,9831.0,KU005,Alajärvi
2018,9700.0,KU005,Alajärvi
2019,9562.0,KU005,Alajärvi
2020,9419.0,KU005,Alajärvi
2021,9311.0,KU005,Alajärvi
2022,9183.0,KU005,Alajärvi
2023,9113.0,KU005,Alajärvi
2024,9078.0,KU005,Alajärvi
2025,8982.0,KU005,Alajärvi
1990,3072.0,KU009,Alavieska
1991,3060.0,KU009,Alavieska
1992,3053.0,KU009,Alavieska
1993,3097.0,KU009,Alavieska
1994,3084.0,KU009,Alavieska
1995,3051.0,KU009,Alavieska
1996,3054.0,KU009,Alavieska
1997,3064.0,KU009,Alavieska
1998,3029.0,KU009,Alavieska
1999,2990.0,KU009,Alavieska
2000,2940.0,KU009,Alavieska
2001,2902.0,KU009,Alavieska
2002,2898.0,KU009,Alavieska
2003,2891.0,KU009,Alavieska
2004,2894.0,KU009,Alavieska
2005,2854.0,KU009,Alavieska
2006,2827.0,KU009,Alavieska
2007,2817.0,KU009,Alavieska
2008,2759.0,KU009,Alavieska
2009,2776.0,KU009,Alavieska
