year,value,region_code,region_name
1987,6.0,SSS,KOKO MAA
1988,5.2,SSS,KOKO MAA
1989,4.4,SSS,KOKO MAA
1990,5.7,SSS,KOKO MAA
1991,12.1,SSS,KOKO MAA
1992,18.0,SSS,KOKO MAA
1993,22.2,SSS,KOKO MAA
1994,20.4,SSS,KOKO MAA
1995,19.8,SSS,KOKO MAA
1996,19.4,SSS,KOKO MAA
1997,16.7,SSS,KOKO MAA
1998,15.1,SSS,KOKO MAA
1999,14.1,SSS,KOKO MAA
2000,12.6,SSS,KOKO MAA
2001,12.4,SSS,KOKO MAA
2002,12.0,SSS,KOKO MAA
2003,12.0,SSS,KOKO MAA
2004,11.8,SSS,KOKO MAA
2005,11.1,SSS,KOKO MAA
2006,9.7,SSS,KOKO MAA
2007,8.5,SSS,KOKO MAA
2008,9.0,SSS,KOKO MAA
2009,11.6,SSS,KOKO MAA
2010,10.4,SSS,KOKO MAA
2011,9.9,SSS,KOKO MAA
2012,10.8,SSS,KOKO MAA
2013,12.6,SSS,KOKO MAA
2014,13.9,SSS,KOKO MAA
2015,14.4,SSS,KOKO MAA
2016,13.6,SSS,KOKO MAA
2017,11.4,SSS,KOKO MAA
2018,9.8,SSS,KOKO MAA
2019,9.9,SSS,KOKO MAA
2020,13.5,SSS,KOKO MAA
2021,10.4,SSS,KOKO MAA
2022,9.8,SSS,KOKO MAA
2023,11.0,SSS,KOKO MAA
2024,11.9,SSS,KOKO MAA
1987,5.8,KU020,Akaa
1988,5.3,KU020,Akaa
1989,4.0,KU020,Akaa
1990,6.7,KU020,Akaa
1991,15.1,KU020,Akaa
1992,20.3,KU020,Akaa
1993,24.9,KU020,Akaa
1994,22.4,KU020,Akaa
1995,22.9,KU020,Akaa
1996,22.9,KU020,Akaa
1997,19.5,KU020,Akaa
1998,17.8,KU020,Akaa
1999,17.8,KU020,Akaa
2000,15.4,KU020,Akaa
2001,14.4,KU020,Akaa
2002,13.8,KU020,Akaa
2003,14.4,KU020,Akaa
2004,13.7,KU020,Akaa
2005,14.1,KU020,Akaa
2006,11.3,KU020,Akaa
2007,9.3,KU020,Akaa
2008,9.9,KU020,Akaa
2009,14.7,KU020,Akaa
2010,11.5,KU020,Akaa
2011,11.0,KU020,Akaa
2012,11.8,KU020,Akaa
2013,14.4,KU020,Akaa
2014,15.1,KU020,Akaa
2015,15.5,KU020,Akaa
2016,14.7,KU020,Akaa
2017,10.0,KU020,Akaa
2018,8.6,KU020,Akaa
2019,8.2,KU020,Akaa
2020,12.9,KU020,Akaa
2021,8.8,KU020,Akaa
2022,8.6,KU020,Akaa
2023,10.9,KU020,Akaa
2024,10.9,KU020,Akaa
1987,8.1,KU005,Alajärvi
1988,8.8,KU005,Alajärvi
1989,7.6,KU005,Alajärvi
1990,8.7,KU005,Alajärvi
1991,16.3,KU005,Alajärvi
1992,21.7,KU005,Alajärvi
1993,25.9,KU005,Alajärvi
1994,20.9,KU005,Alajärvi
1995,21.8,KU005,Alajärvi
1996,19.8,KU005,Alajärvi
