Alue,Vuosi,tyollisyysaste,unemployment_rate,taloudellinenhuoltosuhde,region,year,value,region_code,region_name
SSS,1987,72.5,6.0,113.0,SSS,1987,6.0,SSS,KOKO MAA
SSS,1988,73.3,5.2,111.0,SSS,1988,5.2,SSS,KOKO MAA
SSS,1989,73.8,4.4,110.0,SSS,1989,4.4,SSS,KOKO MAA
SSS,1990,72.5,5.7,114.0,SSS,1990,5.7,SSS,KOKO MAA
SSS,1991,67.4,12.1,132.0,SSS,1991,12.1,SSS,KOKO MAA
SSS,1992,62.6,18.0,151.0,SSS,1992,18.0,SSS,KOKO MAA
SSS,1993,58.2,22.2,170.0,SSS,1993,22.2,SSS,KOKO MAA
SSS,1994,59.3,20.4,166.0,SSS,1994,20.4,SSS,KOKO MAA
SSS,1995,59.6,19.8,165.0,SSS,1995,19.8,SSS,KOKO MAA
SSS,1996,60.2,19.4,162.0,SSS,1996,19.4,SSS,KOKO MAA
SSS,1997,62.5,16.7,153.0,SSS,1997,16.7,SSS,KOKO MAA
SSS,1998,64.7,15.1,142.0,SSS,1998,15.1,SSS,KOKO MAA
SSS,1999,65.7,14.1,138.0,SSS,1999,14.1,SSS,KOKO MAA
SSS,2000,67.2,12.6,132.0,SSS,2000,12.6,SSS,KOKO MAA
SSS,2001,67.2,12.4,132.0,SSS,2001,12.4,SSS,KOKO MAA
SSS,2002,67.3,12.0,132.0,SSS,2002,12.0,SSS,KOKO MAA
SSS,2003,67.3,12.0,132.0,SSS,2003,12.0,SSS,KOKO MAA
SSS,2004,67.8,11.8,131.0,SSS,2004,11.8,SSS,KOKO MAA
SSS,2005,68.2,11.1,132.0,SSS,2005,11.1,SSS,KOKO MAA
SSS,2006,69.6,9.7,128.0,SSS,2006,9.7,SSS,KOKO MAA
SSS,2007,70.8,8.5,124.0,SSS,2007,8.5,SSS,KOKO MAA
SSS,2008,70.7,9.0,124.0,SSS,2008,9.0,SSS,KOKO MAA
SSS,2009,67.9,11.6,134.0,SSS,2009,11.6,SSS,KOKO MAA
SSS,2010,68.9,10.4,131.0,SSS,2010,10.4,SSS,KOKO MAA
SSS,2011,69.9,9.9,129.0,SSS,2011,9.9,SSS,KOKO MAA
SSS,2012,69.6,10.8,132.0,SSS,2012,10.8,SSS,KOKO MAA
SSS,2013,68.6,12.6,137.0,SSS,2013,12.6,SSS,KOKO MAA
SSS,2014,68.0,13.9,141.0,SSS,2014,13.9,SSS,KOKO MAA
SSS,2015,67.8,14.4,143.0,SSS,2015,14.4,SSS,KOKO MAA
SSS,2016,68.6,13.6,142.0,SSS,2016,13.6,SSS,KOKO MAA
SSS,2017,70.5,11.4,137.0,SSS,2017,11.4,SSS,KOKO MAA
SSS,2018,72.1,9.8,132.0,SSS,2018,9.8,SSS,KOKO MAA
SSS,2019,72.1,9.9,133.0,SSS,2019,9.9,SSS,KOKO MAA
SSS,2020,69.5,13.5,142.0,SSS,2020,13.5,SSS,KOKO MAA
SSS,2021,72.4,10.4,133.0,SSS,2021,10.4,SSS,KOKO MAA
SSS,2022,73.5,9.8,130.0,SSS,2022,9.8,SSS,KOKO MAA
SSS,2023,72.5,11.0,132.0,SSS,2023,11.0,SSS,KOKO MAA
SSS,2024,72.1,11.9,133.0,SSS,2024,11.9,SSS,KOKO MAA
KU020,1987,69.8,5.8,128.0,KU020,1987,5.8,KU020,Akaa
KU020,1988,70.8,5.3,124.0,KU020,1988,5.3,KU020,Akaa
KU020,1989,72.2,4.0,121.0,KU020,1989,4.0,KU020,Akaa
